% x,y position
% r,w radius and weight
% typ type of cell
% Tp persistence time
% rho density of radial actin filaments on cell body # / \mu m
% bi bound integrin within whole cell (to be gauged)
% cd cadherin on cell-cell contacts   (to be gauged)
% my myosin level                     (to be gauged)
% ps protrusivity, scales stochastic perturbation
%
% x       y      r     w     typ  Tp     rho   bi    cd     my    ps
  7.52,   7.33,  2.64, 2.64,  2,  146,   8.08, 0.19, 2.82,  1.02, 0.95
 15.03,   7.85,  2.56, 2.56,  1,  116,   8.58, 2.02, 0.97,  0.96, 1.01
 23.06,   7.79,  2.62, 2.62,  2,  117,   7.62, 0.19, 2.91,  0.96, 0.93
 29.44,   7.01,  2.30, 2.30,  1,  114,   7.88, 2.10, 1.07,  1.05, 1.01
 37.21,   7.08,  2.78, 2.78,  1,  122,   8.42, 2.01, 0.94,  0.93, 0.97
 44.62,   7.48,  2.64, 2.64,  1,  114,   7.81, 2.10, 0.98,  0.98, 0.95
 52.61,   7.38,  2.64, 2.64,  1,  130,   8.12, 1.97, 0.99,  1.06, 0.95
 67.68,   7.44,  2.10, 2.10,  1,   96,   8.03, 1.90, 1.12,  0.97, 1.08
 74.88,   7.80,  2.06, 2.06,  2,  103,   8.21, 0.20, 3.04,  0.91, 0.97
  7.25,  14.50,  2.27, 2.27,  2,  101,   8.21, 0.20, 2.96,  1.00, 1.05
 14.72,  14.77,  2.81, 2.81,  2,  120,   8.68, 0.19, 2.96,  0.91, 1.07
 30.61,  14.85,  2.27, 2.27,  1,  108,   8.14, 2.18, 1.01,  1.00, 0.93
 36.90,  14.68,  2.79, 2.79,  2,  117,   8.04, 0.20, 3.21,  0.94, 0.98
 59.84,  14.70,  2.54, 2.54,  1,  107,   7.69, 1.98, 0.98,  0.99, 0.97
 67.56,  15.45,  2.57, 2.57,  2,  111,   7.73, 0.21, 3.16,  1.10, 1.05
  0.17,  22.49,  2.65, 2.65,  1,  113,   7.88, 2.00, 1.02,  0.98, 1.04
 22.57,  22.83,  2.22, 2.22,  1,  123,   8.64, 2.26, 1.03,  1.00, 1.03
 45.36,  22.50,  2.77, 2.77,  1,  120,   8.13, 1.98, 0.89,  0.95, 1.03
 52.84,  22.39,  3.09, 3.09,  2,  115,   8.26, 0.20, 2.88,  1.02, 1.08
 67.19,  22.66,  2.26, 2.26,  1,  137,   7.78, 1.96, 0.92,  1.10, 0.94
 75.52,  22.74,  2.97, 2.97,  1,  119,   7.99, 2.21, 1.04,  0.97, 1.01
  7.91,  30.11,  1.79, 1.79,  1,  113,   8.16, 2.07, 0.99,  1.00, 1.04
 22.97,  30.36,  2.71, 2.71,  1,  111,   8.06, 2.02, 1.01,  0.98, 0.99
 30.11,  29.63,  2.85, 2.85,  1,  118,   8.05, 2.03, 0.93,  1.01, 1.03
 37.66,  29.96,  2.09, 2.09,  1,  102,   8.21, 1.90, 0.99,  1.11, 1.08
 60.16,  30.40,  2.21, 2.21,  1,  118,   8.50, 2.05, 0.97,  1.02, 0.99
 68.03,  29.95,  2.51, 2.51,  1,  128,   7.99, 2.18, 1.01,  1.02, 0.95
 74.34,  29.42,  2.43, 2.43,  2,  127,   8.31, 0.19, 3.07,  0.98, 1.03
 -0.72,  38.11,  1.77, 1.77,  2,  105,   7.60, 0.21, 3.02,  0.94, 1.00
  6.81,  36.74,  2.64, 2.64,  1,  135,   7.31, 1.90, 1.01,  0.99, 1.06
 29.53,  37.29,  2.90, 2.90,  1,  119,   7.56, 2.01, 1.01,  1.01, 0.98
 37.59,  37.18,  2.47, 2.47,  2,  106,   7.12, 0.18, 3.32,  0.95, 1.05
 52.10,  37.94,  2.13, 2.13,  2,  142,   7.71, 0.20, 2.69,  1.06, 0.97
 60.27,  37.45,  2.50, 2.50,  1,  110,   8.12, 2.04, 0.96,  0.95, 1.09
 67.56,  37.57,  2.28, 2.28,  1,  111,   7.82, 2.08, 1.06,  0.99, 1.06
 75.00,  36.97,  2.67, 2.67,  1,  113,   7.85, 1.96, 0.91,  0.92, 0.99
  0.36,  44.78,  2.19, 2.19,  1,  108,   7.55, 1.98, 0.93,  1.07, 1.03
 15.70,  44.72,  2.57, 2.57,  1,  125,   8.13, 2.06, 1.11,  1.04, 0.99
 22.47,  45.59,  2.16, 2.16,  1,  138,   8.16, 2.11, 0.94,  0.99, 1.06
 29.78,  44.82,  3.03, 3.03,  1,  111,   7.67, 1.95, 1.04,  1.00, 1.00
 37.31,  45.02,  2.64, 2.64,  1,  111,   8.22, 2.01, 0.99,  0.94, 0.94
 75.39,  44.91,  2.32, 2.32,  1,  133,   7.97, 1.99, 1.02,  1.07, 1.02
  6.97,  53.00,  2.15, 2.15,  1,  106,   7.59, 2.05, 1.03,  0.95, 0.96
 14.26,  52.83,  2.23, 2.23,  2,  147,   7.30, 0.20, 3.29,  1.11, 0.96
 30.51,  52.80,  2.18, 2.18,  2,  128,   7.98, 0.21, 3.16,  0.96, 0.97
 44.98,  52.32,  2.48, 2.48,  2,  115,   7.66, 0.20, 3.04,  1.00, 0.91
 52.12,  52.73,  2.34, 2.34,  2,  105,   8.79, 0.21, 3.40,  0.98, 1.04
 59.95,  52.65,  2.63, 2.63,  2,  128,   8.19, 0.20, 2.86,  1.03, 1.01
 67.45,  51.83,  2.69, 2.69,  1,  106,   8.89, 1.81, 1.09,  1.00, 0.96
 74.97,  52.00,  2.90, 2.90,  2,  112,   8.00, 0.19, 3.16,  1.05, 0.98
 15.19,  59.98,  2.35, 2.35,  1,  103,   7.93, 1.82, 1.02,  1.07, 0.93
 29.34,  60.38,  2.70, 2.70,  1,  128,   8.13, 2.15, 1.04,  1.03, 1.01
 36.96,  59.86,  1.99, 1.99,  1,  124,   8.30, 2.05, 1.03,  1.05, 0.94
 52.57,  59.89,  2.56, 2.56,  1,  121,   8.33, 1.89, 0.99,  1.00, 1.00
 75.05,  59.63,  3.14, 3.14,  1,  119,   8.96, 2.03, 1.01,  1.05, 1.03
 -0.23,  67.53,  2.76, 2.76,  1,  120,   7.98, 2.19, 1.02,  0.99, 0.99
  7.14,  68.01,  2.49, 2.49,  2,  140,   8.46, 0.19, 3.05,  1.02, 0.99
 30.26,  67.16,  3.17, 3.17,  2,  137,   7.48, 0.20, 3.14,  0.95, 1.01
 37.54,  67.19,  2.20, 2.20,  1,  141,   7.99, 1.96, 0.97,  0.93, 1.07
 59.76,  67.69,  3.14, 3.14,  2,  125,   7.95, 0.21, 2.84,  0.92, 1.04
 67.34,  67.51,  2.09, 2.09,  1,  112,   8.20, 2.19, 1.00,  0.99, 1.00
