      1000        500   5.3795297   3.516346   9.7337764  4.3162034   12.610756  1.3743438   13.415034  5.7349884   14.214362  9.9700271   10.093453  8.5352307   7.4425181  6.5420037   4.3043325  7.1378503   1.1380815  5.4677755   1.0220781  1.9501547   3.7041885  0.16551153   8.7169671   1.098429   2.0351545  9.7704957   6.5229932   10.09496   10.463919  12.516271    14.81482  14.351717    11.50785  17.025178   7.8494902  16.302276   6.4797119  13.563748   3.4230165  13.594594   2.2025769  17.200709  -0.39308913  13.701185   18.004784  10.531031 
      2000       1000   5.9437875  4.2420582   9.4453032  5.3549398   12.496105  1.8504814   13.552331  6.0287349   12.912287  10.280478   9.7181217  8.5779802   6.7828858  7.4767676   3.8023504  8.9139648   2.1372117  5.1956036   0.69095848  1.8783021   3.9388937  1.5977253   8.6385675   1.881925   0.29960813  9.3676439   6.4937038  11.074455   9.9719799  13.468475   14.351389  14.798756   12.070516  18.539872   8.3393658  17.410803   5.9127187  15.132614   3.0639624  12.785389   3.6632486  17.256811  -1.1982416  13.585599   16.713748  10.031954 
      3000       1500   4.6977387  4.9284075   9.3782959  4.9598092   11.264784  2.0831117   13.218657  6.7437202   11.184954  11.339367   9.7059602  8.1162239   7.0877613  7.2798427   4.1924664   8.536212   0.80605027  4.8904766   0.77117901  1.0938472   3.7680366  1.0706027   7.1165651  2.2726866   0.41034693  9.0485961   7.0677905  11.085278   8.9817305  15.885282   13.539968  15.501944   12.317416  19.207044   5.4297597  19.189168   4.7970849  15.984729   3.5153922  12.489698   1.7120306  16.199592  -0.28867169  12.917179   15.123606  10.983281 
      4000       2000   4.3271496  5.0811833   8.9206766  5.3163045    10.71233    2.11371     12.9416  6.2172945   10.431566  11.691715    9.818302  8.2880991   6.8653445  7.8170978   3.7322752  8.7755622   0.069444785   4.525359  -0.40750572  0.8543447   2.4727629  2.0842661   6.8653904  2.3337359   0.042491019   8.798936    6.277619  12.028479   7.9800165  16.669326   13.087469   14.77126   12.411414  18.504114   2.8415681  18.230293   4.2162378    15.1047    2.222502   12.08011   0.16706766  15.136159    -2.29771  12.076841   14.368127  10.556548 
      5000       2500   5.1107808  5.4660204   8.8508236  5.5987617   10.598526  2.3991834   13.252475  5.8877569   11.135982   12.24356   10.525567  8.5283659   7.3957293  8.7760246   3.9908013  8.7423687    1.248812  4.5925135  -0.65825568  1.5177809   3.2319557  2.0382867   6.7788054  2.2835439  -0.21154748  8.1458372   6.0939402  12.126667   7.8815622  16.321842   15.773035  14.192907    12.58078   16.40595   2.6703431  17.610288   3.4131756  14.160213    1.560679  11.375406   0.025648389  14.877861  -2.6255639  11.538217   15.050473  10.292725 
      6000       3000   6.0051235  5.4179935   9.4034023  5.9816892   11.035164  2.7760528   13.560264  6.4117542   11.010196  12.642564   10.949726  9.0690713   8.0522864  8.9951819   4.9122005  8.7235936   2.2219363  5.8566107   1.0248553  2.3112963   4.1665576  2.3112564   7.4656697  2.3665307  -1.5021323  7.1458844   6.3835452  12.229455   7.5945669  16.676482    15.22615  14.267657   12.441729  16.814079   2.3719132  16.727947   3.1911133  13.506859   1.5774452  10.387497  -0.49840185  13.857589   -2.842846  10.865601   14.653457  10.547681 
      7000       3500   5.9989941   6.298956   9.4988974  6.5891911   11.338326  2.6605474   13.499779  6.3854866   10.735363  12.876294   11.029066  9.2450407   8.1601704  9.6014061   4.7949057  9.4255226   2.0821002  6.4049893   1.3222319  3.2215066   4.5853731  2.7985845   7.8929953  3.5568667  -1.9293204  5.0740643   6.5758806  12.649607   6.8559581   17.16452   15.031105  14.511931   11.728154    16.9086   1.8289863  17.123668   2.9981206  13.871951   1.3336112   10.33016  -0.49258253  13.490082  -2.3631606  9.3328811   14.161019  10.681629 
      8000       4000   6.1355417  6.5760392   9.5640296  6.7535984   11.730206  1.9714802   13.420032  6.1821771   10.413157  13.018537   11.105707   9.388815   7.9622481  9.6930013   4.5376553  9.6724843   2.2630727  6.8417823   1.4075015  3.3503995   4.5047556  3.7974203   8.3105725  3.5185838  -1.3180108  5.5464164   6.0056812  12.884469   6.9364742  17.522696   14.560031  14.590031   11.556213  17.239451   2.0133235  17.269444   2.6255426  13.960007    1.013364  10.687914  -0.7173192  14.044364  -2.6052658  9.3674602   14.053674  10.611212 
      9000       4500   6.2648395  6.6633168   9.8871323  6.6072482   11.941734  2.8490268   13.850003  6.8326329   10.165178  13.093658   11.036074  9.5951156    7.966123  9.8896853   4.5861585  10.169893   2.4265287  6.7956029   1.0274698  3.9864434   4.5781719  3.7214144   8.2692923  3.3808422  -1.6022551  6.7944728   6.0623521  13.751082   6.0128623  18.655772   13.978338  15.084664   10.506762  17.372269   1.6594185  16.719645   2.6927296  13.304045   0.63949508  10.326226  -1.1850801  13.842213  -3.2752508  10.524275   14.220805  11.199809 
     10000       5000   6.2548451  6.8807619   9.8379666  6.6707925   11.801589  3.2732374   14.030592  7.0920087   10.202506  13.029955   11.198584   9.633214   8.2213028  9.8662565   5.0122155  10.410539   2.5306706  6.7089014   0.3899943  4.0871174   4.4633845  3.9971119    7.982226  3.4205741   -1.541057  7.6826382   5.9080251  13.995956    6.142984   18.95524   14.122748  15.848707   10.116874  17.016254   2.5644451  16.182232   2.4478112  13.063451   1.2963724  10.211414  -0.73845205  13.821965  -4.2721207  11.026655   14.060974  11.616214 
     11000       5500   6.4063869  6.6430164    10.02688  6.5937827   12.031063  2.7579232   14.209415  6.6118223   10.412301  12.620906     11.5316  9.3511771   8.3357409  9.5047263   4.9548919  10.036334   2.5595596  5.7913252  -0.54625514   3.871191   5.2762101  3.5627008    8.609215  3.4797001  -1.3126107   6.881353   6.2601055  13.979514   6.4380321   18.61423   14.231666  15.189046   10.391197  16.552493   2.3919679  16.245024    2.903036  13.056539   1.2249247  9.9477406  -0.64380079  13.565379  -3.3753586  10.084165   14.386386  11.164659 
     12000       6000   6.4956333  7.1224342   9.9534539  7.0678581   12.177046  2.8650571   14.340989   6.677001   10.687817  12.694547   11.613114   9.415597   8.1619509  10.202336    4.533759  10.413492   2.6980131  6.5485695  -0.17164741  4.2122913   5.5231963  3.9707225   8.7840318  3.9599241  -1.1248633  7.2129112   6.3488006  14.101289   6.5130845  18.903433    13.82321  15.254861   10.104904  16.599797   2.7412965   16.55999   2.7908568  13.477462   0.8886131  10.455008  -0.65149821  14.344658  -3.0779792  10.601348   14.587001  11.145519 
     13000       6500   6.9700526  7.3113225    10.40142  7.0666483   12.311387  3.1414512   14.387955  7.2801736   10.744927  13.270984   11.623681  9.8698476   8.6069576   10.38194    5.424096   10.58024   3.2781324  6.5173571   0.2613121  3.9304704   5.3880285  3.6319895   8.6211084  4.1744732  -0.24126663  7.4246743   6.6638253  14.334591   6.2207653  19.945611   13.638217  16.534773    9.612182  17.096594   2.8504607  17.109355   3.3768903  13.872278   2.0871582  10.653381  -0.27072691   14.94039  -1.8452776  11.255885   14.659656  12.045993 
